"Name","ID","Runtime","Sweep","accuracy","epoch","n_epochs","batch_size","n_mels","n_fft","win_length","hop_length","f_max","mix_up","normalize","learning_rate","arch","valid_loss","train_loss"
"ethereal-sweep-36","evs7f9sh","239","3wp1qhom","0.8849999904632568","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4728606343269348","0.4576038420200348"
"laced-sweep-35","23ldv3ti","139","3wp1qhom","0.8424999713897705","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6350824236869812","0.5729302763938904"
"clean-sweep-34","pub83t41","131","3wp1qhom","0.8700000047683716","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5359197854995728","0.5517622232437134"
"dazzling-sweep-33","ccyofkmx","131","3wp1qhom","0.8274999856948853","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.664886474609375","0.5641747713088989"
"easy-sweep-32","1le5dy07","132","3wp1qhom","0.8575000166893005","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.588126540184021","0.5532650947570801"
"firm-sweep-31","4op5rnyk","133","3wp1qhom","0.8224999904632568","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6067231297492981","0.5513045191764832"
"lively-sweep-30","dkbrag5u","843","3wp1qhom","0.8849999904632568","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4771392047405243","0.3386057913303375"
"decent-sweep-29","30ijbu9e","847","3wp1qhom","0.8824999928474426","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4689670503139496","0.34310105443000793"
"stellar-sweep-28","x32klk64","862","3wp1qhom","0.8725000023841858","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4098356664180755","0.3368542790412903"
"stilted-sweep-27","mhgi86tq","833","3wp1qhom","0.8774999976158142","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4417918920516968","0.3273412585258484"
"super-sweep-26","kf75aghm","856","3wp1qhom","0.875","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.489757627248764","0.3241807520389557"
"absurd-sweep-25","s53zs2lw","232","3wp1qhom","0.8600000143051147","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5486131906509399","0.4456905126571655"
"silvery-sweep-24","j2kpjdno","231","3wp1qhom","0.8274999856948853","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6355553269386292","0.4463532269001007"
"drawn-sweep-23","bg450ti2","227","3wp1qhom","0.8675000071525574","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5127925276756287","0.4563262462615967"
"blooming-sweep-22","st5labfu","236","3wp1qhom","0.8100000023841858","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6529668569564819","0.42996400594711304"
"proud-sweep-21","lgt75sef","222","3wp1qhom","0.8374999761581421","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5563832521438599","0.45838093757629395"
"lunar-sweep-20","tp1onzsr","129","3wp1qhom","0.7975000143051147","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6443842053413391","0.5888066291809082"
"logical-sweep-19","gufefb1r","132","3wp1qhom","0.8274999856948853","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6892244219779968","0.5433835983276367"
"glowing-sweep-18","oyyjp7km","125","3wp1qhom","0.8525000214576721","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6208385825157166","0.5668126344680786"
